V_float,Te_eV,Ne_cc,sweep,probe_res
-4.620719663359109,2.413355449275465,735.5828501432122,0,49900
-4.458168415044079,3.412513850239195,641.2628260645715,1,1000000
,,,2,1000000
,,,3,20000000
,,,4,20000000
-4.656744489934466,2.866831783830168,676.47252775044,5,49900
-4.981226411380812,2.3691793802502983,725.2001887124416,6,49900
-4.558290969087713,3.1750274022077676,651.655604899768,7,1000000
,,,8,1000000
,,,9,20000000
,,,10,20000000
-5.173950315174594,2.9149440800728006,631.3778814442202,11,49900
-5.314407653009758,2.45746994252681,678.275260859337,12,49900
-5.031793377097824,3.039270662900937,660.9553154618233,13,1000000
,,,14,1000000
,,,15,20000000
,,,16,20000000
-4.638858339634189,3.09136482920956,658.0455544297581,17,49900
-4.796636349130758,2.807435071821321,696.65303663626,18,49900
-4.458292634352737,3.342213203229838,659.2402305460014,19,1000000
,,,20,1000000
,,,21,20000000
,,,22,20000000
-4.498305568972705,3.0958728341251085,681.4683070681656,23,49900
-4.704537766061262,2.511733300594206,738.7067142773037,24,49900
-4.2654354250987545,3.4444336676746223,677.8829462733435,25,1000000
,,,26,1000000
,,,27,20000000
,,,28,20000000
-4.412735043957287,2.8721368392309596,697.2255016624504,29,49900
-4.428967368369087,2.3674939665513746,773.8111825943554,30,49900
-4.811968933041222,3.1572137640376745,702.1308527312083,31,1000000
,,,32,1000000
,,,33,20000000
,,,34,20000000
-4.617930856100519,2.9823073116037695,653.4893588271931,35,49900
-4.783008936084624,2.448920999379589,730.9892433726974,36,49900
-4.475361105422444,3.350583145878313,656.5877830920515,37,1000000
,,,38,1000000
,,,39,20000000
,,,40,20000000
-4.558768157000753,3.1797831052944594,652.022926022725,41,49900
-4.685330689626373,2.645781448013252,704.5667971931493,42,49900
-4.4627254745290195,3.281273174298504,652.5608673794129,43,1000000
,,,44,1000000
,,,45,20000000
